run_id,generated_utc,version,status,symbol,timeframe,narrative_label,narrative_confidence,dominant_direction,dominant_theme,net_direction_score,event_risk,technical_event_conflict,accepted_events,noise_filtered_events,evidence_strength,evidence_grade,causal_claim_status,independent_source_count,directional_agreement
market_narrative_20260711_113528,2026-07-11T11:35:28.755435+00:00,v7.1.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-20.3009,HIGH,HIGH,7,0,,,,,
market_narrative_20260711_113559,2026-07-11T11:35:59.116242+00:00,v7.1.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-20.2999,HIGH,HIGH,7,0,,,,,
market_narrative_20260711_153708,2026-07-11T15:37:08.871584+00:00,v7.1.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-19.82,HIGH,HIGH,7,0,,,,,
market_narrative_20260711_153738,2026-07-11T15:37:38.170939+00:00,v7.1.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-19.8191,HIGH,HIGH,7,0,,,,,
market_narrative_20260711_201056,2026-07-11T20:10:56.134447+00:00,v7.1.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-19.289,HIGH,HIGH,7,0,,,,,
market_narrative_20260711_201129,2026-07-11T20:11:29.537863+00:00,v7.1.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-19.2878,HIGH,HIGH,7,0,,,,,
market_narrative_20260711_223427,2026-07-11T22:34:27.073967+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-8.771,HIGH,HIGH,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260711_223500,2026-07-11T22:35:00.687327+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-8.7704,HIGH,HIGH,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_075255,2026-07-12T07:52:55.862436+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-8.2981,HIGH,HIGH,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_075327,2026-07-12T07:53:27.778318+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-8.2978,HIGH,HIGH,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_114837,2026-07-12T11:48:37.147593+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-8.1065,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_114908,2026-07-12T11:49:08.440767+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-8.1061,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_154314,2026-07-12T15:43:14.397830+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.9198,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_154344,2026-07-12T15:43:44.112216+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.9195,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_201023,2026-07-12T20:10:23.944830+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.7128,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_201055,2026-07-12T20:10:55.838976+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.7124,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_231417,2026-07-12T23:14:17.769353+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.5734,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260712_231448,2026-07-12T23:14:48.326802+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.5729,HIGH,LOW,5,2,0.6705,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260713_114548,2026-07-13T11:45:48.895331+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-10.9985,HIGH,LOW,6,2,0.6742,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8333
market_narrative_20260713_114621,2026-07-13T11:46:21.768327+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-10.9978,HIGH,LOW,6,2,0.6742,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8333
market_narrative_20260713_182312,2026-07-13T18:23:12.261510+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.4635,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260713_182344,2026-07-13T18:23:44.504408+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.4632,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260713_233110,2026-07-13T23:31:10.674016+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.239,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260713_233144,2026-07-13T23:31:44.608178+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-7.2386,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260714_072740,2026-07-14T07:27:40.996606+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.9047,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260714_072810,2026-07-14T07:28:10.542924+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.9044,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260714_125223,2026-07-14T12:52:23.677832+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.6858,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260714_125253,2026-07-14T12:52:53.468086+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.6855,HIGH,LOW,5,2,0.6425,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.8
market_narrative_20260714_203505,2026-07-14T20:35:05.826778+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,BEARISH,MACRO_POLICY,-3.4897,HIGH,LOW,3,2,0.5492,LOW,WEAK_HYPOTHESIS,3,0.6667
market_narrative_20260714_203537,2026-07-14T20:35:37.519484+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,BEARISH,MACRO_POLICY,-3.4895,HIGH,LOW,3,2,0.5492,LOW,WEAK_HYPOTHESIS,3,0.6667
market_narrative_20260715_073225,2026-07-15T07:32:25.222397+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,BEARISH,MACRO_POLICY,-3.2694,HIGH,LOW,3,2,0.5492,LOW,WEAK_HYPOTHESIS,3,0.6667
market_narrative_20260715_073258,2026-07-15T07:32:58.937139+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,BEARISH,MACRO_POLICY,-3.2692,HIGH,LOW,3,2,0.5492,LOW,WEAK_HYPOTHESIS,3,0.6667
market_narrative_20260715_125834,2026-07-15T12:58:34.305351+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,BEARISH,MACRO_POLICY,-3.1653,HIGH,LOW,3,2,0.5492,LOW,WEAK_HYPOTHESIS,3,0.6667
market_narrative_20260715_125907,2026-07-15T12:59:07.495167+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,BEARISH,MACRO_POLICY,-3.1651,HIGH,LOW,3,2,0.5492,LOW,WEAK_HYPOTHESIS,3,0.6667
market_narrative_20260715_201917,2026-07-15T20:19:17.186898+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,LOW,BEARISH,MACRO_POLICY,-4.4894,HIGH,HIGH,2,2,0.5992,MEDIUM,PLAUSIBLE_HYPOTHESIS,2,1.0
market_narrative_20260715_201950,2026-07-15T20:19:50.458889+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,LOW,BEARISH,MACRO_POLICY,-4.4892,HIGH,HIGH,2,2,0.5992,MEDIUM,PLAUSIBLE_HYPOTHESIS,2,1.0
market_narrative_20260716_074946,2026-07-16T07:49:46.986726+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.1922,HIGH,LOW,2,2,0.5992,MEDIUM,PLAUSIBLE_HYPOTHESIS,2,1.0
market_narrative_20260716_075016,2026-07-16T07:50:16.409437+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.192,HIGH,LOW,2,2,0.5992,MEDIUM,PLAUSIBLE_HYPOTHESIS,2,1.0
market_narrative_20260716_130850,2026-07-16T13:08:50.487921+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,MIXED_OR_NEUTRAL,MACRO_POLICY,-0.0413,HIGH,LOW,3,1,0.5875,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.5
market_narrative_20260716_130923,2026-07-16T13:09:23.032925+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,MIXED_OR_NEUTRAL,MACRO_POLICY,-0.0413,HIGH,LOW,3,1,0.5875,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.5
market_narrative_20260716_195320,2026-07-16T19:53:20.375765+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-6.4911,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260716_195353,2026-07-16T19:53:53.499940+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-6.4907,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260716_233343,2026-07-16T23:33:43.312779+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.3506,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260716_233413,2026-07-16T23:34:13.809443+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.3503,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_073741,2026-07-17T07:37:41.125950+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.0529,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_073813,2026-07-17T07:38:13.535839+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-6.0526,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_122204,2026-07-17T12:22:04.867112+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.8845,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_122237,2026-07-17T12:22:37.783207+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.8842,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_201431,2026-07-17T20:14:31.168215+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-5.615,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_201501,2026-07-17T20:15:01.073547+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-5.6148,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_231330,2026-07-17T23:13:30.706452+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-5.5162,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260717_231404,2026-07-17T23:14:04.539900+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-5.5159,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_071335,2026-07-18T07:13:35.374183+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.2597,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_071410,2026-07-18T07:14:10.761736+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.2594,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_113422,2026-07-18T11:34:22.485821+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.1254,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_113452,2026-07-18T11:34:52.792227+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.1252,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_153624,2026-07-18T15:36:24.991981+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.0038,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_153652,2026-07-18T15:36:52.291570+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-5.0036,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_200809,2026-07-18T20:08:09.662665+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.8707,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_200838,2026-07-18T20:08:38.727520+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.8704,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_231611,2026-07-18T23:16:11.248007+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.7806,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260718_231645,2026-07-18T23:16:45.011035+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.7804,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_075803,2026-07-19T07:58:03.598581+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.5394,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_075836,2026-07-19T07:58:36.019790+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.5392,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_114502,2026-07-19T11:45:02.581531+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-4.4383,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_114533,2026-07-19T11:45:33.702495+00:00,v7.2.0,MARKET_NARRATIVE_WITH_CONFLICTS,BTC/USDT,4h,MIXED_NARRATIVE_CONFLICT,MEDIUM,BEARISH,MACRO_POLICY,-4.4381,HIGH,HIGH,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_153744,2026-07-19T15:37:44.883256+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.337,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_153818,2026-07-19T15:38:18.392073+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.3369,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_201146,2026-07-19T20:11:46.429200+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.2207,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260719_201218,2026-07-19T20:12:18.106569+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-4.2207,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260720_082641,2026-07-20T08:26:41.152590+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-3.9239,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260720_082714,2026-07-20T08:27:14.562109+00:00,v7.2.0,MARKET_NARRATIVE_READY,BTC/USDT,4h,MACRO_POLICY_DOMINANT,MEDIUM,BEARISH,MACRO_POLICY,-3.9238,HIGH,LOW,4,0,0.6,MEDIUM,PLAUSIBLE_HYPOTHESIS,3,0.75
market_narrative_20260720_112432,2026-07-20T11:24:32.744413+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,MIXED_OR_NEUTRAL,MACRO_POLICY,-2.3921,HIGH,LOW,3,0,0.5042,LOW,WEAK_HYPOTHESIS,2,0.5
market_narrative_20260720_112503,2026-07-20T11:25:03.448774+00:00,v7.2.0,MARKET_NARRATIVE_WEAK_EVIDENCE,BTC/USDT,4h,MACRO_POLICY_DOMINANT,LOW,MIXED_OR_NEUTRAL,MACRO_POLICY,-2.392,HIGH,LOW,3,0,0.5042,LOW,WEAK_HYPOTHESIS,2,0.5
