scope,era,component,component_label,expected_direction,sample_count,unique_values,feature_mean,feature_std,spearman_to_return,aligned_spearman,bottom_samples,top_samples,bottom_expectancy,top_expectancy,top_minus_bottom,aligned_top_minus_bottom,missing_share
LONG,RECENT,trend_score,Trend,1.0,3889,5,27.089483157624066,3.082513987259841,0.04367136534747113,0.04367136534747113,973,972,-0.09082967112024665,-0.725087512345679,-0.6342578412254324,-0.6342578412254324,0.0
LONG,RECENT,momentum_score,Momentum,1.0,3889,19,23.013113911031112,4.212238080929649,-0.025650254804525676,-0.025650254804525676,973,972,-0.26711159815005137,-0.3742448302469136,-0.10713323209686221,-0.10713323209686221,0.0
LONG,RECENT,volume_score,Volume,1.0,3889,13,4.841347390074569,4.740016679593803,0.013104058779245555,0.013104058779245555,973,972,-0.252446744090442,-0.17051937037037038,0.08192737372007161,0.08192737372007161,0.0
LONG,RECENT,structure_score,Structure,1.0,3889,8,6.500385703265621,2.545358610392933,0.02235771314926896,0.02235771314926896,973,972,-0.37498789619732786,-0.04157540329218109,0.3334124929051468,0.3334124929051468,0.0
LONG,RECENT,regime_score,Regime,1.0,3889,6,4.349190023142196,2.2839000687272524,0.047380025006288684,0.047380025006288684,973,972,-0.08282440082219936,-0.7041453960905351,-0.6213209952683357,-0.6213209952683357,0.0
LONG,RECENT,risk_penalty,Risk Penalty,-1.0,3889,22,-4.583697608639753,4.097142806801242,0.0040251566998018825,-0.0040251566998018825,973,972,-0.12399874100719423,-0.1804255576131687,-0.05642681660597447,0.05642681660597447,0.0
LONG,RECENT,adaptive_adjustment,Adaptive Adjustment,1.0,3889,13,0.48855746978657755,2.723654315037699,0.023050468727585274,0.023050468727585274,973,972,-0.19395190133607396,-0.12593129732510286,0.0680206040109711,0.0680206040109711,0.0
SHORT,LEGACY,trend_score,Trend,1.0,2010,4,26.9681592039801,3.3435139697923173,-0.020526171775102183,-0.020526171775102183,503,503,-1.2896992345924452,-1.7333025109343938,-0.4436032763419486,-0.4436032763419486,0.0
SHORT,LEGACY,momentum_score,Momentum,1.0,2010,18,23.67313432835821,4.033210963177872,0.01196662746417732,0.01196662746417732,503,503,-1.2631480119284295,-0.699732383697813,0.5634156282306165,0.5634156282306165,0.0
SHORT,LEGACY,volume_score,Volume,1.0,2010,14,5.422885572139304,4.906009476846357,-0.003033136333299853,-0.003033136333299853,503,503,-0.7457886182902584,-0.7497297793240557,-0.003941161033797269,-0.003941161033797269,0.0
SHORT,LEGACY,structure_score,Structure,1.0,2010,8,6.514427860696517,2.4685163421300422,-0.10260573970110701,-0.10260573970110701,503,503,-0.5636952465208749,-1.8693076799204773,-1.3056124333996024,-1.3056124333996024,0.0
SHORT,LEGACY,regime_score,Regime,1.0,2010,6,4.121890547263682,2.632284898907245,-0.0922347676226083,-0.0922347676226083,503,503,-0.991467435387674,-1.859964268389662,-0.868496833001988,-0.868496833001988,0.0
SHORT,LEGACY,risk_penalty,Risk Penalty,-1.0,2010,20,-6.213432835820895,5.280746843071854,0.13587297754428065,-0.13587297754428065,503,503,-2.3198734850894636,-0.5205254314115307,1.799348053677933,-1.799348053677933,0.0
SHORT,LEGACY,adaptive_adjustment,Adaptive Adjustment,1.0,2010,13,0.5945273631840796,2.944303869189945,-0.11328728708307778,-0.11328728708307778,503,503,-0.1553088031809145,-1.9656515964214711,-1.8103427932405567,-1.8103427932405567,0.0
SHORT,TRANSITION,trend_score,Trend,1.0,2011,3,27.113873694679263,3.0336192592354436,0.019087687669456024,0.019087687669456024,670,671,-1.2514006582089552,-0.5092916125186288,0.7421090456903264,0.7421090456903264,0.0
SHORT,TRANSITION,momentum_score,Momentum,1.0,2011,16,23.28145201392342,3.9806030293705232,-0.006726097324510997,-0.006726097324510997,503,503,-0.5877017952286282,-0.6983948667992047,-0.1106930715705765,-0.1106930715705765,0.0
SHORT,TRANSITION,volume_score,Volume,1.0,2011,10,5.160119343610144,4.72497946192814,-0.052818325646956626,-0.052818325646956626,503,503,-0.3665380854870776,-0.7476037514910536,-0.381065666003976,-0.381065666003976,0.0
SHORT,TRANSITION,structure_score,Structure,1.0,2011,8,6.34410740924913,2.5903732648631075,0.0005024458947635265,0.0005024458947635265,503,503,-0.5726331749502982,-0.4197138508946322,0.152919324055666,0.152919324055666,0.0
SHORT,TRANSITION,regime_score,Regime,1.0,2011,6,4.199900546991547,2.5191104469856187,0.03180146119899343,0.03180146119899343,503,503,-1.4416553260437375,-0.5371559662027834,0.9044993598409541,0.9044993598409541,0.0
SHORT,TRANSITION,risk_penalty,Risk Penalty,-1.0,2011,20,-6.008950770760816,4.909516372566084,0.033553728728059416,-0.033553728728059416,503,503,-0.6334441848906562,-0.4105608429423459,0.22288334194831033,-0.22288334194831033,0.0
SHORT,TRANSITION,adaptive_adjustment,Adaptive Adjustment,1.0,2011,13,0.4709099950273496,2.8584236730989376,-0.008842944549093054,-0.008842944549093054,503,503,-0.7907353339960238,-0.5059599940357853,0.2847753399602385,0.2847753399602385,0.0
SHORT,RECENT,trend_score,Trend,1.0,3362,4,26.842950624628198,3.5170646260934264,-0.0244082833990599,-0.0244082833990599,841,841,-0.7907521569560046,-0.49543739714625457,0.2953147598097501,0.2953147598097501,0.0
SHORT,RECENT,momentum_score,Momentum,1.0,3362,17,23.268887566924448,4.103035165913724,-0.006540171649548915,-0.006540171649548915,841,841,-0.6800689191438763,-0.5182503828775268,0.16181853626634957,0.16181853626634957,0.0
SHORT,RECENT,volume_score,Volume,1.0,3362,11,5.252230814991076,4.748151845248283,0.009223350322968622,0.009223350322968622,841,841,-0.6347061105826398,-0.7662834887039239,-0.13157737812128412,-0.13157737812128412,0.0
SHORT,RECENT,structure_score,Structure,1.0,3362,9,6.352171326591315,2.5796663562585187,0.033017939406426465,0.033017939406426465,841,841,-0.8401437467300833,-0.7012036765755053,0.138940070154578,0.138940070154578,0.0
SHORT,RECENT,regime_score,Regime,1.0,3362,6,4.161213563355146,2.6150289932489987,-0.006932777992600275,-0.006932777992600275,841,841,-0.7960247134363853,-0.5024878894173603,0.2935368240190249,0.2935368240190249,0.0
SHORT,RECENT,risk_penalty,Risk Penalty,-1.0,3362,21,-4.905116002379536,4.5172263316484615,0.008564443944073871,-0.008564443944073871,841,841,-0.7673915897740784,-0.626164970273484,0.14122661950059445,-0.14122661950059445,0.0
SHORT,RECENT,adaptive_adjustment,Adaptive Adjustment,1.0,3362,13,0.4375371802498513,2.8464252087003286,-0.01223370911924323,-0.01223370911924323,841,841,-0.6309666052318669,-0.7286777609988109,-0.097711155766944,-0.097711155766944,0.0
SYMBOL:BTC/USDT,LEGACY,trend_score,Trend,1.0,2591,4,27.089154766499423,3.090579381652429,-0.009838135508134664,-0.009838135508134664,648,648,-0.6005567160493828,-0.481761725308642,0.11879499074074079,0.11879499074074079,0.0
SYMBOL:BTC/USDT,LEGACY,momentum_score,Momentum,1.0,2591,18,23.094172134311076,4.14634927049756,-0.007873062502629103,-0.007873062502629103,648,648,-0.1681581049382716,-0.4065819675925925,-0.23842386265432092,-0.23842386265432092,0.0
SYMBOL:BTC/USDT,LEGACY,volume_score,Volume,1.0,2591,12,4.80084909301428,4.789076328185685,0.007494620213673432,0.007494620213673432,648,648,-0.5448603981481481,-0.277105950617284,0.26775444753086414,0.26775444753086414,0.0
SYMBOL:BTC/USDT,LEGACY,structure_score,Structure,1.0,2591,9,6.609803164801235,2.4569242254886796,-0.00938888561876166,-0.00938888561876166,648,648,-0.5895792685185185,-0.4248422669753087,0.1647370015432098,0.1647370015432098,0.0
SYMBOL:BTC/USDT,LEGACY,regime_score,Regime,1.0,2591,6,4.331532226939405,2.3125364229502745,-0.05890337622291483,-0.05890337622291483,648,648,-0.4897576265432098,-0.4635702669753086,0.02618735956790119,0.02618735956790119,0.0
