variant,side,model,feature,coefficient
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,symbol_ETH/USDT,-0.06993939662983492
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,symbol_SOL/USDT,0.2970191885520527
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,missing_indicator_0,0.0
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,missing_indicator_1,0.0
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,missing_indicator_2,0.0
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,missing_indicator_3,0.0
ARCH_V2_BASE,SHORT,WIN_LOGISTIC,missing_indicator_4,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,trend_norm,0.3609679107459245
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,volume_confirm,0.2667611875292197
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,regime_norm,0.15584158600157502
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,risk_norm,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,atr_log,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,rsi_centered,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,macd_per_vol,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,cost_pct,-0.31461856108128133
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,cost_to_atr,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,net_reward_risk,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,trend_per_vol,0.36096791074592455
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,trend_volume_interaction,0.12612879271362107
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,structure_gate,0.3274111264118222
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,regime_UNKNOWN,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,symbol_BTC/USDT,-0.03753060037516958
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,symbol_ETH/USDT,-0.012056079100973902
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,symbol_SOL/USDT,0.04958667947613677
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,missing_indicator_0,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,missing_indicator_1,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,missing_indicator_2,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,missing_indicator_3,0.0
ARCH_V2_NO_MOMENTUM,LONG,RETURN_RIDGE,missing_indicator_4,0.0
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,trend_norm,0.26933395321172954
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,volume_confirm,0.23038925770686647
ARCH_V2_NO_MOMENTUM,LONG,WIN_LOGISTIC,regime_norm,-0.1152779337710078
