side,threshold,eligible,sample_count,win_rate,expectancy,profit_factor,total_return,max_drawdown,variant
LONG,0.2,True,461,0.455531453362256,0.23208779826464207,1.2203863328567888,106.992475,-93.78045399999985,ARCH_V2_LONG_ONLY
LONG,0.35,True,178,0.47191011235955055,0.40201515730337073,1.4329779557932842,71.55869799999999,-39.748469000000014,ARCH_V2_LONG_ONLY
LONG,0.5,False,31,0.3548387096774194,-0.10984541935483873,0.8708222954154996,-3.4052080000000005,-11.987115,ARCH_V2_LONG_ONLY
SHORT,-0.1,False,781,0.39820742637644047,-0.49845908578745196,0.6803388237520159,-389.296546,-516.4358899999999,ARCH_V2_LONG_ONLY
SHORT,0.0,False,632,0.40348101265822783,-0.5340141803797468,0.6679307951590494,-337.496962,-434.4374520000005,ARCH_V2_LONG_ONLY
SHORT,0.05,False,584,0.410958904109589,-0.5252847089041095,0.6755654003164094,-306.76626999999996,-403.2970090000003,ARCH_V2_LONG_ONLY
SHORT,0.1,False,529,0.41965973534971646,-0.5233241928166351,0.674117134071035,-276.83849799999996,-352.5482570000004,ARCH_V2_LONG_ONLY
SHORT,0.2,False,434,0.43317972350230416,-0.44042230414746547,0.7238863364109328,-191.14328,-272.0188099999998,ARCH_V2_LONG_ONLY
SHORT,0.35,False,297,0.43097643097643096,-0.5092953131313132,0.6906202759334739,-151.26070800000002,-218.70177599999994,ARCH_V2_LONG_ONLY
SHORT,0.5,False,190,0.38421052631578945,-0.8109281157894738,0.5254511242692589,-154.076342,-186.12688000000003,ARCH_V2_LONG_ONLY
