scope,component,component_label,bin_order,bin_label,sample_count,component_mean,avg_return,median_return,win_rate
SIDE:SHORT,momentum_score,Momentum,3,"(22.4, 26.2]",1994,24.456369,-0.66155,-0.888223,0.349047
SIDE:SHORT,momentum_score,Momentum,4,"(26.2, 30.0]",1730,28.512139,-0.531941,-0.742207,0.375723
SIDE:SHORT,volume_score,Volume,0,"(-0.001, 3.0]",3157,0.795692,-0.596075,-0.776314,0.355084
SIDE:SHORT,volume_score,Volume,1,"(3.0, 6.0]",903,4.668882,-0.427398,-0.743537,0.372093
SIDE:SHORT,volume_score,Volume,2,"(6.0, 9.0]",1384,8.0,-0.5601,-0.765152,0.390173
SIDE:SHORT,volume_score,Volume,3,"(9.0, 12.0]",666,11.001502,-0.798199,-0.816088,0.37988
SIDE:SHORT,volume_score,Volume,4,"(12.0, 15.0]",611,13.97545,-0.758619,-0.84368,0.378069
SIDE:SHORT,structure_score,Structure,0,"(-0.001, 2.0]",200,0.04,-0.63729,-0.780304,0.34
SIDE:SHORT,structure_score,Structure,1,"(2.0, 4.0]",1265,3.185771,-0.606747,-0.766299,0.345455
SIDE:SHORT,structure_score,Structure,2,"(4.0, 6.0]",2488,5.970257,-0.608281,-0.777793,0.36254
SIDE:SHORT,structure_score,Structure,3,"(6.0, 8.0]",1189,7.168209,-0.452334,-0.675778,0.39529
SIDE:SHORT,structure_score,Structure,4,"(8.0, 10.0]",1579,10.0,-0.691464,-0.84723,0.382521
SIDE:SHORT,regime_score,Regime,0,"(-8.001, -5.4]",31,-8.0,-0.782538,-0.615424,0.354839
SIDE:SHORT,regime_score,Regime,1,"(-5.4, -2.8]",337,-4.827893,-0.537592,-0.73772,0.356083
SIDE:SHORT,regime_score,Regime,2,"(-2.8, -0.2]",74,-2.0,-1.09462,-0.913589,0.243243
SIDE:SHORT,regime_score,Regime,3,"(-0.2, 2.4]",187,0.0,-0.913989,-0.806621,0.363636
SIDE:SHORT,regime_score,Regime,4,"(2.4, 5.0]",6092,5.0,-0.587771,-0.776453,0.371635
SIDE:SHORT,risk_penalty,Risk Penalty,0,"(-23.001, -18.4]",67,-20.328358,-5.844483,-4.459172,0.19403
SIDE:SHORT,risk_penalty,Risk Penalty,1,"(-18.4, -13.8]",229,-15.707424,-1.317006,-1.853611,0.384279
SIDE:SHORT,risk_penalty,Risk Penalty,2,"(-13.8, -9.2]",618,-11.830097,-0.382975,-0.72745,0.443366
SIDE:SHORT,risk_penalty,Risk Penalty,3,"(-9.2, -4.6]",2110,-7.007109,-0.457931,-0.675484,0.388152
SIDE:SHORT,risk_penalty,Risk Penalty,4,"(-4.6, 0.0]",3697,-1.631593,-0.579377,-0.770263,0.34812
SIDE:SHORT,external_context_score,External Context,0,CONSTANT,6721,0.0,-0.60081,-0.775219,0.369141
SIDE:SHORT,adaptive_adjustment,Adaptive Adjustment,0,"(-8.001, -5.2]",65,-7.476923,-0.418472,-0.533992,0.4
SIDE:SHORT,adaptive_adjustment,Adaptive Adjustment,1,"(-5.2, -2.4]",863,-3.674392,-0.476287,-0.730779,0.375435
SIDE:SHORT,adaptive_adjustment,Adaptive Adjustment,2,"(-2.4, 0.4]",2910,-0.736082,-0.583896,-0.739293,0.359107
SIDE:SHORT,adaptive_adjustment,Adaptive Adjustment,3,"(0.4, 3.2]",1977,1.99393,-0.555743,-0.825483,0.37481
SIDE:SHORT,adaptive_adjustment,Adaptive Adjustment,4,"(3.2, 6.0]",906,5.342163,-0.885173,-1.018231,0.380795
SIDE:SHORT,historical_edge_score,Historical Edge,0,CONSTANT,6721,0.0,-0.60081,-0.775219,0.369141
REGIME:BULL,trend_score,Trend,0,"(5.999, 10.4]",16,6.0,-1.131189,-1.102993,0.1875
REGIME:BULL,trend_score,Trend,1,"(10.4, 14.8]",5,11.0,-0.820922,-0.896001,0.4
REGIME:BULL,trend_score,Trend,2,"(14.8, 19.2]",359,17.0,-0.298516,-0.333366,0.440111
REGIME:BULL,trend_score,Trend,3,"(19.2, 23.6]",7,22.0,0.691504,1.297325,0.571429
REGIME:BULL,trend_score,Trend,4,"(23.6, 28.0]",6453,28.0,-0.265515,-0.594738,0.404618
REGIME:BULL,momentum_score,Momentum,0,"(7.999, 12.4]",26,10.884615,-0.056048,-0.511942,0.384615
REGIME:BULL,momentum_score,Momentum,1,"(12.4, 16.8]",282,14.670213,-0.163726,-0.513523,0.404255
REGIME:BULL,momentum_score,Momentum,2,"(16.8, 21.2]",1904,18.659139,-0.28659,-0.653525,0.403887
REGIME:BULL,momentum_score,Momentum,3,"(21.2, 25.6]",2978,23.403962,-0.245689,-0.548677,0.408328
REGIME:BULL,momentum_score,Momentum,4,"(25.6, 30.0]",1650,28.110909,-0.310873,-0.555381,0.405455
REGIME:BULL,volume_score,Volume,0,"(-0.001, 3.6]",3320,0.69006,-0.39212,-0.591865,0.393675
REGIME:BULL,volume_score,Volume,1,"(3.6, 7.2]",1670,5.851497,-0.190512,-0.543699,0.417365
REGIME:BULL,volume_score,Volume,2,"(7.2, 10.8]",698,9.0,-0.254519,-0.619005,0.418338
REGIME:BULL,volume_score,Volume,3,"(10.8, 14.4]",899,11.736374,-0.03662,-0.534019,0.412681
REGIME:BULL,volume_score,Volume,4,"(14.4, 18.0]",253,15.043478,-0.028961,-0.450407,0.438735
REGIME:BULL,structure_score,Structure,0,"(-0.001, 2.0]",235,0.0,-0.268485,-0.402991,0.421277
REGIME:BULL,structure_score,Structure,1,"(2.0, 4.0]",1207,3.283347,-0.367353,-0.602377,0.398509
REGIME:BULL,structure_score,Structure,2,"(4.0, 6.0]",2565,5.992203,-0.402706,-0.60318,0.397271
REGIME:BULL,structure_score,Structure,3,"(6.0, 8.0]",1031,7.161979,-0.16404,-0.608549,0.418041
REGIME:BULL,structure_score,Structure,4,"(8.0, 10.0]",1802,10.0,-0.071777,-0.552234,0.415094
REGIME:BULL,regime_score,Regime,0,"(-8.001, -1.5]",31,-8.0,-0.782538,-0.615424,0.354839
REGIME:BULL,regime_score,Regime,1,"(-1.5, 5.0]",6809,5.0,-0.266359,-0.570125,0.406374
REGIME:BULL,risk_penalty,Risk Penalty,0,"(-25.001, -20.0]",16,-21.1875,-1.254979,-2.641262,0.375
REGIME:BULL,risk_penalty,Risk Penalty,1,"(-20.0, -15.0]",162,-16.771605,1.462585,-1.355208,0.395062
REGIME:BULL,risk_penalty,Risk Penalty,2,"(-15.0, -10.0]",692,-11.962428,0.092232,-0.545292,0.440751
REGIME:BULL,risk_penalty,Risk Penalty,3,"(-10.0, -5.0]",2280,-6.943421,-0.327124,-0.656772,0.402632
REGIME:BULL,risk_penalty,Risk Penalty,4,"(-5.0, 0.0]",3690,-1.626016,-0.372016,-0.532878,0.402439
REGIME:BULL,external_context_score,External Context,0,CONSTANT,6840,0.0,-0.268698,-0.571382,0.40614
REGIME:BULL,adaptive_adjustment,Adaptive Adjustment,0,"(-8.001, -5.2]",31,-8.0,-0.782538,-0.615424,0.354839
REGIME:BULL,adaptive_adjustment,Adaptive Adjustment,1,"(-5.2, -2.4]",615,-3.0,-0.188241,-0.563605,0.41626
REGIME:BULL,adaptive_adjustment,Adaptive Adjustment,2,"(-2.4, 0.4]",2958,-0.717377,-0.399223,-0.591082,0.399256
REGIME:BULL,adaptive_adjustment,Adaptive Adjustment,3,"(0.4, 3.2]",2178,1.987144,-0.256127,-0.535118,0.407254
REGIME:BULL,adaptive_adjustment,Adaptive Adjustment,4,"(3.2, 6.0]",1058,5.336484,0.038637,-0.665871,0.418715
REGIME:BULL,historical_edge_score,Historical Edge,0,CONSTANT,6840,0.0,-0.268698,-0.571382,0.40614
REGIME:BEAR,trend_score,Trend,0,"(5.999, 10.4]",31,6.0,0.300646,0.17253,0.516129
REGIME:BEAR,trend_score,Trend,1,"(10.4, 14.8]",2,11.0,0.105956,0.105956,0.5
REGIME:BEAR,trend_score,Trend,2,"(14.8, 19.2]",365,17.0,-0.345021,-0.535194,0.383562
REGIME:BEAR,trend_score,Trend,3,"(19.2, 23.6]",7,22.0,-0.016544,-0.146297,0.428571
REGIME:BEAR,trend_score,Trend,4,"(23.6, 28.0]",5699,28.0,-0.611664,-0.809105,0.369539
REGIME:BEAR,momentum_score,Momentum,0,"(10.999, 14.8]",148,13.702703,-0.27602,-0.439925,0.398649
REGIME:BEAR,momentum_score,Momentum,1,"(14.8, 18.6]",722,16.912742,-0.447624,-0.63063,0.400277
REGIME:BEAR,momentum_score,Momentum,2,"(18.6, 22.4]",2096,20.883111,-0.661594,-0.788098,0.37166
REGIME:BEAR,momentum_score,Momentum,3,"(22.4, 26.2]",1844,24.43872,-0.646095,-0.85841,0.355748
REGIME:BEAR,momentum_score,Momentum,4,"(26.2, 30.0]",1294,28.349304,-0.510239,-0.774253,0.373261
REGIME:BEAR,volume_score,Volume,0,"(-0.001, 3.0]",3035,0.788797,-0.588069,-0.775219,0.357825
REGIME:BEAR,volume_score,Volume,1,"(3.0, 6.0]",842,4.684086,-0.423995,-0.715788,0.37886
REGIME:BEAR,volume_score,Volume,2,"(6.0, 9.0]",1212,7.986799,-0.504336,-0.764144,0.39934
REGIME:BEAR,volume_score,Volume,3,"(9.0, 12.0]",546,11.0,-0.820049,-0.875634,0.375458
REGIME:BEAR,volume_score,Volume,4,"(12.0, 15.0]",469,13.976546,-0.856271,-0.91071,0.366738
REGIME:BEAR,structure_score,Structure,0,"(-0.001, 2.0]",187,0.032086,-0.794063,-0.881637,0.331551
