run_id,generated_utc,version,status,symbol,timeframe,decision_id,decision_side,decision_score,primary_root_cause,root_cause_direction,root_cause_confidence,root_cause_probability_pct,root_cause_evidence_quality,root_cause_verdict,evidence_total,official_evidence_total,narrative_label,narrative_direction,narrative_theme,causal_primary_cause,catalyst_score
root_cause_20260711_201056,2026-07-11T20:10:56.902720+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,264ad8f589baac98,LONG,67,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.61,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,47
root_cause_20260711_201104,2026-07-11T20:11:04.822838+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,264ad8f589baac98,LONG,67,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.61,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,47
root_cause_20260711_201119,2026-07-11T20:11:19.279242+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,264ad8f589baac98,LONG,67,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.61,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,47
root_cause_20260711_201130,2026-07-11T20:11:30.384580+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,264ad8f589baac98,LONG,67,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.61,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,47
root_cause_20260711_223427,2026-07-11T22:34:27.767469+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,24d04734856aed0b,LONG,49,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.5,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,45
root_cause_20260711_223435,2026-07-11T22:34:35.554066+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,24d04734856aed0b,LONG,49,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.5,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,45
root_cause_20260711_223450,2026-07-11T22:34:50.017508+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,24d04734856aed0b,LONG,49,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.5,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,45
root_cause_20260711_223501,2026-07-11T22:35:01.416611+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,24d04734856aed0b,LONG,49,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.5,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,45
root_cause_20260712_075256,2026-07-12T07:52:56.670405+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,e0163ae62a4873df,LONG,73,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.15,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,41
root_cause_20260712_075304,2026-07-12T07:53:04.979518+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,e0163ae62a4873df,LONG,73,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.15,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,41
root_cause_20260712_075317,2026-07-12T07:53:17.401896+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,e0163ae62a4873df,LONG,73,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.15,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,41
root_cause_20260712_075328,2026-07-12T07:53:28.623816+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,e0163ae62a4873df,LONG,73,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.15,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,41
root_cause_20260712_114837,2026-07-12T11:48:37.909588+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,60decbe99ef52ab6,NEUTRAL,18,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,53.93,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,14,12,MACRO_POLICY_DOMINANT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,11
