source,run_id,decision_id,replay_experiment_id,replay_data_fingerprint,candle_timestamp,symbol,timeframe,provider,replay_split,replay_position,replay_total_positions,replay_safe,learning_overrides_enabled,historical_edge_enabled,historical_context_mode,side,score,confidence_label,risk_label,actionability,is_actionable,entry_price,entry_zone,stop_zone,targets,fee_bps_per_side,slippage_bps_per_side,regime_label,regime_confidence,long_score,short_score,trend_score,momentum_score,volume_score,structure_score,regime_score,risk_penalty,external_context_score,adaptive_adjustment,historical_edge_score,news_sentiment_score,onchain_signal_score,cross_exchange_volume_ratio,available_future_candles,evaluation_status,target_1_hit,target_2_hit,target_3_hit,stop_hit,first_exit_reason,first_exit_candle_offset,intrabar_ambiguity,mfe_pct,mae_pct,evaluated_candles,market_return_after_1c_pct,gross_signed_return_after_1c_pct,net_signed_return_after_1c_pct,direction_correct_after_1c,market_return_after_3c_pct,gross_signed_return_after_3c_pct,net_signed_return_after_3c_pct,direction_correct_after_3c,market_return_after_6c_pct,gross_signed_return_after_6c_pct,net_signed_return_after_6c_pct,direction_correct_after_6c,market_return_after_4h_pct,return_after_4h_pct,net_return_after_4h_pct,market_return_after_12h_pct,return_after_12h_pct,net_return_after_12h_pct,market_return_after_24h_pct,return_after_24h_pct,net_return_after_24h_pct
MARKET_REPLAY,market_replay_20260710_152233,5b7ebc1ea16c6734e440,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-10T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,224,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,37,Low,Medium,MONITOR_ONLY,False,69197.7,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BULL,62,37,1,28,11,0,3,5,-7,0,-3,0,0.0,0.0,0.0,5112,COMPLETE,False,False,False,False,NO_EXIT,,False,5.002045,-3.042587,6,0.288449,,,,-0.87026,,,,4.065164,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,c0c37d5102b017b2fe33,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-11T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,225,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,51,Low,Medium,NOT_ACTIONABLE,False,72010.7,"71,695 - 72,200","70,494","[""73,275"", ""74,286"", ""75,297""]",10.0,5.0,TRENDING_BULL,62,51,0,28,20,3,7,5,-9,0,-3,0,0.0,0.0,0.0,5106,COMPLETE,False,False,False,False,NO_EXIT,,False,1.464366,-1.417984,6,-0.044438,-0.044438,-0.344438,False,-0.548946,-0.548946,-0.848946,False,-0.418132,-0.418132,-0.718132,False,-0.044438,-0.044438,-0.344438,-0.548946,-0.548946,-0.848946,-0.418132,-0.418132,-0.718132
MARKET_REPLAY,market_replay_20260710_152233,3045481151f0360ad9cc,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-12T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,226,1076,True,False,False,TECHNICAL_CORE_ONLY,LONG,53,Low,Medium,NOT_ACTIONABLE,False,71709.6,"71,398 - 71,897","70,212","[""72,958"", ""73,956"", ""74,954""]",10.0,5.0,TRENDING_BULL,100,53,0,28,14,9,6,5,-9,0,0,0,0.0,0.0,0.0,5100,COMPLETE,True,False,False,True,STOP,1.0,False,2.684857,-4.26233,6,-0.524198,-0.524198,-0.824198,False,0.482641,0.482641,0.182641,True,1.286578,1.286578,0.986578,True,-0.524198,-0.524198,-0.824198,0.482641,0.482641,0.182641,1.286578,1.286578,0.986578
MARKET_REPLAY,market_replay_20260710_152233,31c27429b89792b8c717,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-13T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,227,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,45,Low,Medium,MONITOR_ONLY,False,72632.2,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BULL,100,45,5,28,8,5,6,5,-7,0,0,0,0.0,0.0,0.0,5094,COMPLETE,False,False,False,False,NO_EXIT,,False,1.571479,-2.79752,6,0.985926,,,,0.867797,,,,-2.460066,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,da47a0ed3fe1ee526b00,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-14T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,228,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,48,Low,Low,MONITOR_ONLY,False,70845.4,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BULL,62,17,48,17,30,15,4,-8,-2,0,-8,0,0.0,0.0,0.0,5088,COMPLETE,False,False,False,False,NO_EXIT,,False,2.221457,-7.376626,6,-2.000836,,,,-3.705533,,,,-3.796294,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,02c417c6ac6e7a5a0962,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-15T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,229,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,28,Low,Medium,MONITOR_ONLY,False,68155.9,نامشخص,نامشخص,[],10.0,5.0,VOLATILE,75,0,28,28,17,0,7,-4,-13,0,-7,0,0.0,0.0,0.0,5082,COMPLETE,False,False,False,False,NO_EXIT,,False,3.662192,-1.092789,6,1.202244,,,,1.531782,,,,0.328805,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,43636997b8a5c2915542,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-16T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,230,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,45,Low,Medium,MONITOR_ONLY,False,68380.0,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BEAR,62,0,45,28,17,5,3,5,-13,0,0,0,0.0,0.0,0.0,5076,COMPLETE,False,False,False,False,NO_EXIT,,False,0.038608,-5.605148,6,-2.140684,,,,-2.696549,,,,-0.597689,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,ff706a57ee1781d170e9,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-17T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,231,1076,True,False,False,TECHNICAL_CORE_ONLY,NEUTRAL,27,Low,Medium,MONITOR_ONLY,False,67971.3,نامشخص,نامشخص,[],10.0,5.0,TRENDING_BEAR,62,11,27,11,14,3,6,5,-9,0,-3,0,0.0,0.0,0.0,5070,COMPLETE,False,False,False,False,NO_EXIT,,False,1.463412,-1.967301,6,0.830056,,,,-0.002207,,,,-0.732809,,,,,,,,,,,,
MARKET_REPLAY,market_replay_20260710_152233,45e9e7394ef0fb8c1d74,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-18T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,232,1076,True,False,False,TECHNICAL_CORE_ONLY,SHORT,60,Medium,Low,WATCHLIST,False,67473.2,"67,225 - 67,887","69,462","[""65,816"", ""64,490"", ""63,165""]",10.0,5.0,TRENDING_BEAR,62,0,60,28,21,5,3,5,-2,0,0,0,0.0,0.0,0.0,5064,COMPLETE,True,True,True,False,TARGET_1,3.0,False,7.503572,-0.980241,6,-0.814101,0.814101,0.514101,True,-2.366866,2.366866,2.066866,True,-5.077868,5.077868,4.777868,True,-0.814101,0.814101,0.514101,-2.366866,2.366866,2.066866,-5.077868,5.077868,4.777868
MARKET_REPLAY,market_replay_20260710_152233,4444c2b515dad58b5f26,805f5f662b22b5bb,b8b8ecd15a6371a2,2024-03-19T12:00:00+00:00,BTC/USDT,4h,kucoin,TRAIN_60,233,1076,True,False,False,TECHNICAL_CORE_ONLY,SHORT,51,Low,Medium,NOT_ACTIONABLE,False,64047.0,"63,777 - 64,496","66,204","[""62,249"", ""60,811"", ""59,373""]",10.0,5.0,TRENDING_BEAR,62,0,51,28,20,5,7,5,-14,0,0,0,0.0,0.0,0.0,5058,COMPLETE,True,True,False,False,TARGET_1,2.0,False,5.148407,-2.666479,6,0.532734,-0.532734,-0.832734,False,-3.420769,3.420769,3.120769,True,-0.697457,0.697457,0.397457,True,0.532734,-0.532734,-0.832734,-3.420769,3.420769,3.120769,-0.697457,0.697457,0.397457
